Question,Exact Answer,Source Document(s)
"What was the year-over-year revenue growth for Google Cloud in Q2 2026, and what specific products drove this acceleration?","Google Cloud revenues increased 82% to $24.8 billion. This growth was led by an increase in Google Cloud Platform (GCP) across enterprise AI Solutions and enterprise AI Infrastructure, as well as core GCP services.",Allphabet-earnings-release.pdf
"According to the Q2 2026 Supplemental Information table, what was the total revenue for 'Google Search & other' compared to 'YouTube ads'?","Revenue for 'Google Search & other' was $63,271 million, while revenue for 'YouTube ads' was $11,055 million.",Allphabet-earnings-release.pdf
"What is AWS Forward Deployed Engineering, how much is Amazon investing in it, and who are some of its early customers?","AWS Forward Deployed Engineering is a team of AI engineers embedded directly with customers to co-develop and deploy agentic AI solutions in days. Amazon is investing $1 billion to create this team. Early customers include Allen Institute, Cox Automotive, the NBA, the NFL, Ricoh, and Southwest Airlines.",AMZN-Q2-2026-Earnings-Release.pdf
Look at the Segment Information table. What was the operating income for the AWS segment in Q2 2026 compared to Q2 2025?,"The AWS segment operating income was $16,621 million in Q2 2026, compared to $10,160 million in Q2 2025.",AMZN-Q2-2026-Earnings-Release.pdf
"What new strategic venture did Meta announce regarding its Meta Compute effort in El Paso, Texas?","Meta announced a new strategic venture with BlackRock to develop a new 1GW data center in El Paso, Texas.",META-Q2-2026-Earnings-Call-Transcript.pdf
How does Mark Zuckerberg explain Meta's strategy regarding open-source 'open weight' models versus developing closed frontier models?,"Zuckerberg noted that open-source models are currently not as strong as frontier models, and relying solely on them carries risk. While Meta will continue a mix of open and closed models, building their own full-stack, proprietary frontier models ensures sovereignty, data safety, and the ability to tune specific capabilities for business and personal agents.",META-Q2-2026-Earnings-Call-Transcript.pdf
How many paid seats has M365 Copilot surpassed as of FY26 Q4?,M365 Copilot has surpassed 30 million paid seats.,Microsoft FY 2026.pdf
What discrete items impacted Microsoft's 'Other Income and Expense' in FY26 Q4?,Microsoft's 'Other Income and Expense' was positively impacted by a gain of $3.2 billion from their investment in Anthropic.,Microsoft FY 2026.pdf
The NVIDIA Vera Rubin platform is ramping into full production. Which specific cloud partners are currently running it?,"The NVIDIA Vera Rubin platform is running at partners including CoreWeave, Google Cloud, Microsoft Azure, Oracle Cloud Infrastructure, and Nebius.",NVIDIAAn.pdf
"What is NVIDIA's revenue outlook for the third quarter of fiscal 2027, and what assumption are they making about the Chinese market?","NVIDIA expects revenue to be $108.0 billion, plus or minus 2%. The company is not assuming any Data Center compute revenue from China in this outlook.",NVIDIAAn.pdf
